Invalid path from 1 to 12, count: 2
Invalid path from 2 to 3, count: 13
Invalid path from 3 to 2, count: 12
Invalid path from 4 to 4, count: 1
Invalid path from 8 to 22, count: 4
Invalid path from 9 to 16, count: 2
Invalid path from 10 to 10, count: 1
Invalid path from 10 to 14, count: 21
Invalid path from 11 to 11, count: 12
Invalid path from 11 to 12, count: 31
Invalid path from 12 to 11, count: 21
Invalid path from 12 to 12, count: 14
Invalid path from 14 to 10, count: 6
Invalid path from 14 to 14, count: 1
Invalid path from 15 to 4, count: 2
Invalid path from 15 to 15, count: 3
Invalid path from 16 to 9, count: 1
Invalid path from 16 to 16, count: 2
Invalid path from 17 to 17, count: 3
Invalid path from 18 to 18, count: 2
Invalid path from 18 to 25, count: 1
Invalid path from 19 to 19, count: 21
Invalid path from 20 to 27, count: 32
Invalid path from 21 to 12, count: 2
Invalid path from 21 to 21, count: 8
Invalid path from 22 to 8, count: 2
Invalid path from 22 to 22, count: 3
Invalid path from 22 to 25, count: 1
Invalid path from 25 to 18, count: 7
Invalid path from 26 to 26, count: 1
Invalid path from 27 to 20, count: 30
Invalid path from 28 to 28, count: 1
Invalid path from 29 to 28, count: 1
Invalid path from 29 to 29, count: 1
